ID,GENDER_ACROSSTIME_T1T2T3T4,MPACS_TOTAL_IMP_T1,MPACS_TOTAL_IMP_T2,MPACS_TOTAL_IMP_T3,MPACS_TOTAL_IMP_T4,MPACS_TOTAL_IMP_T5,MPACS_TOTAL_IMP_T6,SPPA_SWORTH_IMP_T1,SPPA_SWORTH_IMP_T2,SPPA_SWORTH_IMP_T3,SPPA_SWORTH_IMP_T4,SPPA_SWORTH_IMP_T5,SPPA_SWORTH_IMP_T6
1339,2,36,58,NA,NA,NA,NA,3.6,3.4,NA,NA,NA,NA
1340,2,NA,NA,98,NA,NA,NA,3.8,3,3,NA,NA,NA
1341,1,75.78947368,65.55555556,55,60,71,NA,2.6,4,4,3.8,3.4,NA
1342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1343,1,47,48,NA,60,56.66666667,60,3,2.4,NA,2.4,NA,2.4
1344,2,67.77777778,65,85,80,NA,NA,4,3.6,3.6,3,NA,NA
1345,2,60,48,32,46,38,52,3.8,4,3.8,4,3.4,3.4
1346,1,85.26315789,82,62,41,38,62,4,3.25,3,1.8,2.6,2.8
1347,2,NA,82.10526316,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
1348,2,NA,NA,52,89,NA,NA,NA,NA,3.4,4,NA,NA
1349,1,77,72,66,69,NA,NA,2.4,3.4,3.4,2.8,NA,NA
1350,2,98,91,93,91,NA,NA,3.8,4,4,2.75,NA,NA
1351,2,82.22222222,88,83,88,NA,NA,4,4,4,4,NA,NA
1352,1,NA,NA,NA,60,NA,NA,3.666666667,NA,NA,3.4,NA,NA
1353,1,71.57894737,73,73.68421053,85,NA,NA,2.8,3.2,4,3.25,2.8,NA
1354,1,83.33333333,NA,NA,68.42105263,NA,NA,3.2,NA,3,4,NA,NA
1355,1,92,90,78,73,NA,NA,4,4,3.4,3.2,NA,2.8
1356,2,63,NA,49,71,NA,NA,4,NA,3,3,NA,NA
1357,2,93,87,86,69,NA,44.21052632,3.2,3.8,3.8,3.6,NA,3.2
1358,1,62.22222222,75,75,68,NA,58,2.6,3.6,3.6,3.2,NA,2.8
1359,2,57.22222222,76.84210526,NA,NA,NA,NA,2.6,2,NA,NA,NA,NA
1360,1,79,85,75,75,67,54,3,3,3.2,3,2,2.2
1361,1,83.52941176,85,66,NA,NA,NA,4,3.8,3.6,NA,NA,NA
1362,2,80,NA,NA,59,74,77,3.4,NA,4,3.2,3,3.6
1363,2,55.38461538,54,NA,40,54.73684211,NA,2.2,3,1.4,1.2,1.6,NA
1364,2,54,62,73,69,NA,NA,3.6,2.8,2.8,3,NA,NA
1365,2,74,65,80,83,67,67,3.4,2.6,3.2,3.2,2.8,3.4
1366,1,NA,62.10526316,62,61.05263158,NA,NA,3.6,3.6,3.4,3.4,NA,NA
1367,1,75.29411765,60,69,60,NA,NA,3.2,2.4,3.2,3.4,NA,NA
1368,2,93,84,NA,56,NA,NA,3.8,3.6,3.4,3.2,NA,3.2
1369,1,74,78,77,84,81,NA,3.6,3.6,3.6,3.8,3.8,NA
1370,1,NA,97.89473684,70,76,NA,63.15789474,NA,3.4,2.8,3.2,NA,2.2
1371,4,73,75,74,74,NA,NA,4,3.6,3.4,3.2,NA,NA
1372,1,NA,NA,NA,42.10526316,51,62,2.6,3,2.6,2.6,1.6,2.4
1373,2,NA,NA,NA,57,NA,NA,NA,NA,NA,1.8,NA,NA
1374,4,77,84,90,64,NA,NA,3.4,3.4,3.8,3,NA,NA
1375,1,76,79,84,85,73,66,3.2,3.6,3.666666667,3.8,3.2,3
1376,1,72,84,67,69,NA,NA,3.2,4,3.6,3.25,NA,NA
1377,2,57,50,63,67,65,68,3.4,3.2,3,NA,3,2.6
1378,2,50,79,65,60,60,60,2.5,2.8,3,3.4,2.6,2.6
1379,2,88,85,87,85,NA,75,4,4,4,3.6,NA,3.2
1380,1,78,87.36842105,77.89473684,72,NA,NA,3.75,4,3.2,3.75,NA,NA
1381,1,71,52,60,60,NA,NA,4,3.8,3.6,3.8,NA,NA
1382,1,81.05263158,NA,81,92,77,66,4,NA,4,4,2.8,2.8
1383,2,59,72,59,68,69,69,3.2,3,3,3,3,2.6
1384,2,99,89,96,79,NA,NA,4,3.2,3.8,3.4,NA,NA
1385,1,83,71.57894737,77.89473684,NA,NA,NA,4,3,2.8,NA,NA,NA
1386,1,74,68,84,60,NA,NA,3.6,3.6,3.6,2.6,NA,NA
1387,2,57.64705882,59,NA,NA,NA,63,3.8,3.2,NA,NA,NA,3.2
1388,1,79,77.85714286,92,64,59,67.36842105,4,2.8,1.8,2.8,2.6,2.8
1389,4,64.28571429,NA,NA,NA,60,NA,3.8,2.2,1.5,2,3,NA
1390,2,52,54,NA,NA,NA,NA,4,3.333333333,NA,NA,NA,NA
1391,1,NA,49.47368421,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
1392,1,84.21052632,86,61,73,NA,NA,3.8,NA,3.8,3.4,NA,NA
1393,2,56,NA,64,66,NA,60,2,2.2,2,2.6,NA,3.4
1394,2,30,56.47058824,52,60,NA,NA,1.8,2.4,2.6,2.8,NA,NA
1395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1396,2,87,94,96,96,NA,NA,3.2,3.6,3.8,3.8,NA,NA
1397,2,96,92,94,94,85,84,3.4,3.4,3,3.2,3.6,4
1398,2,84.21052632,72,NA,NA,65,65,3.25,3.2,3,2.8,2.6,3
1399,1,74,77,73,76,74,72,3.4,3.8,3.2,3,3.2,3.4
1400,2,61.05263158,NA,NA,85,NA,NA,3.4,NA,NA,3.25,NA,NA
1401,1,65,53.68421053,NA,NA,NA,NA,3.2,3.2,NA,NA,NA,NA
1402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1403,2,44.44444444,71,NA,NA,NA,NA,3.4,3.6,NA,NA,NA,NA
1404,1,68.88888889,NA,60,60,NA,NA,3.6,4,4,3.8,NA,NA
1405,2,78.88888889,NA,NA,76,74,80,3,NA,NA,3.4,3.2,3.2
1406,1,82,91,90,86,91.76470588,57,4,4,4,3.75,3.6,2
1407,4,91.57894737,79,72,69,58.94736842,54,3.4,4,4,2.6,2.5,2.5
1408,2,86,93,96,93.68421053,97,95,2.6,3,2.8,2.5,2,1.6
1409,2,68,85,76,74,NA,NA,3,2.8,3.2,2.75,NA,NA
1410,1,78,66,66,69,70,NA,4,3.8,3.4,3,3,NA
1411,1,60,58,56,59,56,60,3.2,2.8,2.8,2.6,2.6,2.8
1412,2,69,59,65,60,54,60,2.8,2.8,3,2.8,2.6,2.6
1413,1,59,53,64,65,57.89473684,59,2.6,3,2.2,2.8,2.8,3.2
1414,2,76,75,77,66,61,61,3.7,3.4,2.6,2.6,2.6,2.25
1415,2,81.05263158,83.15789474,92,91,87,NA,3.8,3.8,3.8,3.8,4,NA
1416,1,64,58.94736842,72,60,NA,NA,3,3,3,3.5,NA,NA
1417,1,82,88.42105263,84,85,82,NA,3.8,3.2,3.6,3.2,NA,NA
1418,2,70,82,75,77,NA,NA,3.8,3.4,3.2,3.4,NA,NA
1419,2,80,NA,NA,NA,NA,NA,3.4,2.8,NA,NA,NA,NA
1420,1,94,91,91,91,NA,NA,4,3.6,3.2,2.8,NA,NA
1421,1,63,NA,56,60,76,72,3.4,NA,3,3,2.8,3.6
1422,5,42.10526316,56.66666667,NA,NA,NA,NA,3,2.8,NA,NA,NA,NA
1423,2,75,68,85,70,NA,NA,3.2,2.8,3.4,3.2,NA,NA
1424,4,81,79,88,66,38,NA,4,3.8,4,3.4,4,NA
1425,1,79,54.44444444,NA,NA,NA,NA,2.2,2.833333333,NA,NA,NA,NA
1426,1,75.55555556,77,NA,NA,NA,NA,4,3.2,NA,NA,NA,NA
1427,2,73,NA,79,73,NA,NA,3,NA,2.8,2.6,3.4,NA
1428,1,96,NA,96,89,62.10526316,60,4,NA,4,4,2,3.2
1429,1,65.88235294,65,67.36842105,63.33333333,NA,69,3.4,4,2.8,2.4,NA,3.8
1430,1,NA,60,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
1431,1,72,72,71,69,60,NA,3.8,3.8,4,3.8,3,NA
1432,2,82,85,NA,NA,NA,NA,4,3.8,NA,NA,NA,NA
1433,2,74,NA,74,69,NA,NA,3.2,NA,3.8,2.6,NA,NA
1434,2,89,85,79,62,64,60,3.8,4,4,2.4,2.4,2.2
1435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1436,4,56.66666667,51.17647059,67.89473684,59,NA,NA,NA,4,3.4,2,NA,NA
1437,1,80,68,65,64,NA,NA,4,4,3.25,3.4,NA,NA
1438,2,95,97,89,NA,62,73.84615385,4,4,4,NA,2.2,NA
1439,5,67,68,NA,NA,NA,NA,3.4,3.4,NA,NA,NA,NA
1440,1,32.22222222,59,60,NA,NA,NA,2.4,3.4,3.8,NA,NA,NA
1441,4,77.77777778,63,60,60,60,59,NA,3.8,3,3.8,3.8,2
1442,1,NA,63.15789474,54,66,NA,NA,NA,3.2,3,3.2,NA,NA
1443,4,44.21052632,41,35,60,NA,NA,3.4,3,3,2.2,NA,NA
1444,2,54.44444444,NA,79,69.47368421,75,65,3.4,NA,4,4,3,2
1445,1,63,68,69,64,67,NA,2.8,3.8,2.8,3,2.8,NA
1446,1,NA,66,66,69.09090909,NA,NA,NA,4,3.6,3.2,NA,NA
1447,1,74,NA,76,60,60,63,3,3.2,3.2,2,2.4,2.6
1448,2,78,70,67,75.78947368,NA,NA,2.4,2.6,3,4,NA,NA
1449,2,93,93,91,100,92.63157895,87,4,4,4,3.6,4,3.8
1450,1,93.68421053,95.78947368,93,92,85,NA,4,4,4,4,4,NA
1451,1,90,87.36842105,77,76.84210526,NA,67,4,3.4,3.2,3.4,NA,2.8
1452,1,73.68421053,91,79,60,62.10526316,NA,3.8,2.8,3.75,NA,2.8,NA
1453,2,76,82,83,94,96,96,3.8,3.8,4,4,4,4
1454,2,75,53,55,59,NA,NA,3,3,3,2.8,NA,NA
1455,1,57,66,66,57,NA,NA,4,3.8,2.8,1.6,NA,NA
1456,2,83.52941176,85,76,81,NA,NA,3.25,3,3.6,3.4,NA,NA
1457,2,63,83,NA,NA,NA,NA,2.6,3,NA,NA,NA,NA
1458,2,47,46,46,43,NA,55,2.6,1.8,2.4,2,2.8,3
1459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1460,1,91,94,NA,60,57,NA,3.8,4,3.6,NA,2,NA
1461,1,NA,NA,NA,66,NA,NA,NA,NA,NA,3.6,4,NA
1462,2,NA,NA,NA,NA,NA,NA,NA,4,4,3.6,NA,NA
1463,2,43,66,48,57,59,42,4,3.8,3.8,4,4,4
1464,2,38,44,49,56,54,60,3.4,2.4,2.6,2.8,2.4,3
1465,2,86,84,74,74,NA,NA,3.4,3.8,3.4,3.2,NA,NA
1466,1,82,NA,81,78,56.66666667,NA,3.2,NA,3,2.8,3,NA
1467,4,88,85,87,81,NA,NA,3.8,3.8,3.8,3.4,NA,NA
1468,2,59,24.21052632,71,78,NA,NA,3,2.4,3.2,3.6,NA,NA
1469,2,55,51,43.63636364,57,60,NA,1.8,2.6,2.8,NA,2.6,NA
1470,1,83,80,87,84,86,87,4,3.8,3.8,3.6,3,4
1471,2,83,85,73,NA,NA,NA,3.6,3.8,3,NA,NA,NA
1472,5,55.29411765,38.18181818,33,NA,NA,NA,3.2,2.6,1.8,NA,NA,NA
1473,1,84,79,NA,NA,NA,NA,3.6,3.25,NA,NA,NA,NA
1474,1,92,90,79,81,NA,NA,4,3.8,3.2,3.8,NA,NA
1475,1,60,59,64,70,60,67,2.8,2.6,3,2.8,1.8,2.4
1476,1,64,60,69,63.63636364,NA,NA,4,3.6,3.2,3.4,NA,NA
1477,2,54,44,42,31,31,25,4,3.2,2.6,2,2,2.2
1478,2,41,44,42,41,37,33.68421053,3.4,3,2.4,1.8,2.8,2.8
1479,2,57,53,65,61,46,NA,2.4,2.8,2,2.6,1.4,NA
1480,1,45,49.23076923,51,41,60,59,3.4,3.4,3,3.6,3,2.8
1481,2,73,NA,81,73,NA,NA,2.8,NA,2.6,3.2,NA,NA
1482,1,81,81.17647059,NA,79,NA,NA,3.6,3.6,3.2,3,NA,NA
1483,2,94,87,97,71,NA,69,3.6,3.4,3.8,2.2,NA,2.4
1484,2,58.94736842,58,61,58,NA,NA,2,2.8,3,2.6,NA,NA
1485,1,80,82.22222222,NA,NA,NA,NA,2,3.6,NA,NA,NA,NA
1486,1,87,60,66,65,85,72,3.8,2.8,3.8,2.4,3.2,2.6
1487,2,52,50,52,51,56,54,1,2,2,1.8,1.6,2
1488,1,62,63,37,39,42,NA,3.6,3.8,3.2,3.6,4,4
1489,2,88,74,87,91,NA,NA,4,4,3.9,3.8,NA,NA
1490,2,75,70,69,72,NA,NA,3,3.2,2.6,3.2,NA,NA
1491,1,75,61,55,61,NA,NA,3.4,2.6,1.8,2.6,3,NA
1492,2,NA,NA,67,NA,NA,NA,NA,NA,3.2,NA,NA,NA
1493,2,72,79,87,79,NA,NA,3.2,3.4,3.2,3.4,NA,NA
1494,1,72.22222222,73.68421053,79,77,NA,NA,3.2,3.8,3.2,3.6,NA,NA
1495,1,NA,62.10526316,50,NA,NA,NA,NA,3,2.8,NA,NA,NA
1496,1,50,56,45,60,NA,NA,3.8,3.2,2.4,2.6,NA,NA
1497,2,93,92,83,87,87,60,4,4,4,4,4,3
1498,1,79,84,74,80,NA,NA,3.8,3.4,4,3.6,NA,NA
1499,1,96,96,96,96,96,NA,4,4,4,4,4,NA
1500,2,58.94736842,57.89473684,64,57,NA,NA,1.8,NA,1.6,2.2,NA,NA
1501,2,96,NA,89,90,89,NA,3.6,NA,4,3.8,3.6,3.4
1502,2,83,80,95,96,92,60,3.2,3.4,3.4,4,3.4,4
1503,1,68,NA,NA,63.63636364,NA,NA,3.8,NA,NA,4,NA,NA
1504,1,NA,90,89,NA,86,78,NA,3.6,3.2,3.6,3.8,3.2
1505,2,92,97.89473684,97,98,99,NA,4,4,4,4,3.8,NA
1506,2,87,88,80,64,NA,NA,4,4,4,3.6,NA,NA
1507,2,60,56,69,58,NA,67,2.6,2,3,2.2,NA,3
1508,1,NA,45.33333333,73,49,NA,NA,NA,4,2.8,2.4,NA,NA
1509,2,49,44,53,55,64,NA,2,2.4,2.4,2.4,1.8,NA
1510,1,82.10526316,87,NA,NA,NA,NA,3.2,3.8,NA,NA,NA,NA
1511,1,69.47368421,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA
1512,2,69,72,78,90,NA,62.10526316,3.4,3.2,4,3.5,NA,2.4
1513,1,67,NA,64.21052632,65,70,72,3.6,NA,3.4,3,3.2,3
1514,1,NA,39,71.5,74,67,70,NA,3,3.2,4,3.4,3.2
1515,2,NA,NA,59,NA,65,59,NA,NA,2,NA,2.2,3
1516,2,NA,54,48,51,NA,NA,NA,3,2.8,2.2,NA,NA
1517,1,NA,88,85,NA,88,92,NA,3.2,4,NA,3.8,4
1518,1,NA,NA,81,80,NA,NA,NA,NA,3.2,3,NA,NA
1519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1520,1,NA,NA,64.21052632,NA,NA,NA,NA,NA,3.6,NA,NA,NA
1521,1,NA,NA,86,80,NA,NA,NA,NA,3.6,3,NA,NA
1522,2,NA,NA,88,94,95,NA,NA,NA,3.2,3.6,3.6,NA
1523,1,NA,NA,63,60,60,NA,NA,NA,3.4,3.6,3.2,NA
1524,1,NA,NA,70,61,57,44,NA,NA,2.4,3.8,2,2.6
1525,2,NA,NA,61,64,NA,NA,NA,NA,3,3.2,NA,NA
1526,2,NA,NA,75.78947368,64.21052632,60,NA,NA,NA,3.4,3.8,3.6,NA
1527,1,NA,NA,65,79,NA,NA,NA,NA,3.4,2.6,NA,NA
1528,2,NA,NA,65.55555556,64,60,60,NA,NA,4,4,2.4,1.6
1529,1,NA,NA,48,NA,NA,NA,NA,NA,2.6,NA,NA,NA
1530,1,NA,NA,98.88888889,NA,NA,NA,NA,NA,4,NA,NA,NA
1531,1,NA,NA,70,78,67,56,NA,NA,4,1.6,3,2.25
1532,2,NA,NA,70,89,59,NA,NA,NA,3.6,4,3.8,NA
1533,1,NA,NA,92,94,NA,NA,NA,NA,3,4,NA,NA
1534,1,NA,NA,64,56,48.75,NA,NA,NA,3.2,3.2,3,NA
1535,2,NA,NA,61,48,NA,NA,NA,NA,2.9,2.4,NA,NA
1536,2,NA,NA,57,57,NA,NA,NA,NA,3.4,3.4,NA,NA
1537,2,NA,NA,92,84,96,93,NA,NA,4,3,3.6,3.4
1538,2,NA,NA,85,NA,NA,51,NA,NA,2.75,2.2,NA,1.8
1539,2,NA,NA,NA,88,NA,NA,NA,NA,NA,3.4,NA,NA
1540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1541,2,NA,NA,NA,47,NA,NA,NA,NA,NA,3.4,NA,NA
1542,1,NA,NA,NA,50,NA,NA,NA,NA,NA,2.4,NA,NA
1543,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1544,1,NA,NA,NA,59,56,57,NA,NA,NA,2.6,2.6,2.6
1545,1,NA,NA,NA,59,NA,NA,NA,NA,NA,3,NA,NA
1546,2,NA,NA,NA,71.42857143,NA,NA,NA,NA,NA,2.2,NA,NA
1547,1,51,45,NA,NA,49,42,3.2,3.8,NA,NA,3.2,2.8
1548,1,79,82,NA,NA,NA,NA,3.4,3.6,NA,NA,NA,NA
1549,1,54,54,NA,NA,NA,NA,2.8,3,NA,NA,NA,NA
1550,2,74,66,NA,NA,NA,NA,2.2,2.8,NA,NA,NA,NA
1551,2,50,55,61,NA,59,56,3,2.4,2.2,NA,2.4,2.2
1552,2,48.42105263,37.64705882,NA,63.15789474,48.42105263,34,2.2,2,NA,2.75,2.8,2.6
1553,2,70,76.66666667,NA,NA,NA,NA,2.4,3,NA,NA,NA,NA
1554,2,74.73684211,81,NA,NA,NA,80,3.6,3.5,NA,NA,NA,3
1555,2,81,80,NA,NA,64,69,4,4,NA,NA,4,3
1556,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
1557,2,62,60,62,59.47368421,NA,NA,2.4,2.4,2.2,2.6,NA,NA
1558,1,60,60,83,NA,63,47,4,1.8,3.6,NA,4,2.2
1559,2,73.68421053,81,NA,NA,NA,NA,3,3.2,NA,NA,NA,NA
1560,1,68,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
1561,2,79,68,NA,NA,NA,69,2.6,3.2,NA,NA,NA,2.8
1562,2,NA,66,NA,NA,88,80,NA,2.8,NA,NA,4,4
1563,2,62,NA,69,65,65,55,2.8,NA,3,3.2,2.8,2.6
1564,2,55,60,NA,NA,NA,NA,2.2,3.6,NA,NA,NA,NA
1565,1,NA,72,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA
1566,1,83.15789474,76,NA,NA,NA,NA,3.2,3.4,NA,NA,NA,NA
1567,1,91,NA,NA,NA,92,NA,3.8,NA,NA,NA,4,NA
1568,1,70.52631579,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA
1569,2,85,79,74,67,55,60,4,4,3,3.2,3,3.2
1570,2,58,54,NA,NA,NA,NA,3,3,NA,NA,NA,NA
1571,2,95,88.42105263,NA,NA,70,NA,3.4,3.2,NA,NA,3,NA
1572,2,51.57894737,54,NA,NA,59,62,3,3,NA,NA,2.6,2.6
1573,2,64,78.33333333,NA,NA,NA,NA,4,4,NA,NA,NA,NA
1574,1,56,54.44444444,NA,NA,63,NA,3,1.4,NA,NA,3.6,NA
1575,2,90,84,NA,NA,NA,NA,2.4,2.8,NA,NA,NA,NA
1576,2,57.89473684,56,NA,NA,NA,NA,2.8,3,NA,NA,NA,NA
1577,2,52,64,NA,NA,NA,NA,3,2.8,NA,NA,NA,NA
1578,1,37.89473684,50.52631579,NA,53,NA,67,3.8,4,NA,3.4,NA,3.4
1579,2,56,62,79,NA,NA,NA,3.8,3.8,4,NA,NA,NA
1580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1581,2,74,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA
1582,1,79,77,NA,NA,NA,NA,3.6,4,NA,NA,NA,NA
1583,2,84,89,NA,NA,NA,NA,3.4,4,NA,NA,NA,NA
1584,1,88,84.70588235,NA,NA,NA,NA,2.8,2.8,NA,NA,NA,NA
1585,1,53.33333333,61.11111111,NA,NA,65.26315789,NA,3.4,2.25,NA,NA,2,NA
1586,2,NA,74,NA,NA,77,NA,NA,2,NA,NA,2,NA
1587,1,70.58823529,70,NA,NA,NA,NA,3.6,3.6,NA,NA,NA,NA
1588,1,86,57.77777778,NA,NA,61,62,4,4,NA,NA,2,2
1589,2,72.63157895,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA
1590,2,65,55.55555556,NA,NA,56,NA,3.4,3,NA,NA,3.2,NA
1591,2,67,61,61,NA,NA,48,3.4,3.4,3.8,NA,NA,3
1592,1,48,67,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA
1593,1,70,62.10526316,NA,NA,NA,NA,3,3.8,NA,NA,NA,NA
1594,2,73.68421053,73,89,83,96,87,3.4,2.8,4,3.2,3.2,3.2
1595,2,53,62.10526316,NA,NA,NA,58,2.2,3.25,NA,NA,NA,2.4
1596,1,NA,58,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA
1597,2,82,74,82,NA,86,NA,3.2,3.6,3.4,NA,3.8,NA
1598,2,63,62,NA,NA,NA,61,3,3,NA,NA,NA,3.2
1599,1,81.05263158,60,64,60,60,NA,3.4,3,3,2.6,3.8,NA
1600,1,90,NA,NA,NA,96.84210526,NA,3.2,1.6,NA,NA,2.6,NA
1601,2,78.94736842,83,NA,NA,86,NA,3.2,3.6,NA,NA,3.4,NA
1602,1,77,87.36842105,NA,NA,NA,NA,3.4,3.4,NA,NA,NA,NA
1603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1604,1,60,66.66666667,NA,NA,NA,NA,3.2,2.4,NA,NA,NA,NA
1605,2,83,78.94736842,NA,NA,NA,NA,2.8,2.75,NA,NA,NA,NA
1606,1,68,72,NA,NA,NA,NA,3,3,NA,NA,NA,NA
1607,2,64,60,55,62,61,71,3.4,3.2,2.8,2.8,2.8,2.8
1608,2,90,93,NA,NA,98,96,4,4,NA,NA,3.8,4
1609,2,85,81,NA,NA,NA,NA,3.8,4,NA,NA,NA,NA
1610,1,74,62,67,60,NA,NA,3.8,3.4,3,3,NA,NA
1611,2,66,68,NA,NA,89,77,3.8,3.666666667,NA,NA,3,3
1612,1,62.10526316,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA
1613,2,85,80,NA,NA,NA,NA,3.2,3,NA,NA,NA,NA
1614,2,NA,80,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA
1615,1,65,58,NA,NA,NA,NA,2.8,2.6,NA,NA,NA,NA
1616,2,65,71,65,54.44444444,67,76.84210526,2.8,2.8,2,2.375,2.4,2.2
1617,1,53.68421053,32,58,58,58,59,3.6,3.8,3.4,3,2.8,3.4
1618,2,93,96,NA,NA,NA,88,3.2,3.6,NA,NA,NA,2.6
1619,1,60,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA
1620,2,55.29411765,61.05263158,NA,NA,NA,NA,3.4,3.8,NA,NA,NA,NA
1621,1,76,82,NA,NA,57.89473684,72,3.6,3.6,NA,NA,2.6,3.4
1622,2,NA,70,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
1623,2,75,90,74,60,45,69,2.2,3,1.6,3.8,3.4,3.4
1624,1,96,NA,NA,NA,NA,NA,4,3.8,NA,NA,NA,3.6
1625,4,88,71,NA,NA,NA,51,3.4,2.8,NA,NA,NA,3.2
1626,2,46,51,40,NA,NA,63.15789474,2.6,3.6,2.4,NA,NA,3.4
1627,1,65,62.10526316,NA,NA,NA,NA,3.8,2.4,NA,NA,NA,NA
1628,2,79,80,NA,NA,NA,NA,3.6,3.8,NA,NA,NA,NA
1629,2,39,47,49,52,45,60,2.2,2,2.2,2.4,2.2,2.2
1630,1,NA,51,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
1631,1,68,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
1632,2,43,36,NA,NA,NA,NA,2.2,1.8,NA,NA,NA,NA
1633,1,79,65,NA,NA,NA,79,3.2,2.6,NA,NA,NA,2.6
1634,1,72,77,68,NA,NA,71,3.4,3.666666667,3.2,NA,NA,3.6
1635,1,51,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA
1636,1,79,65.26315789,NA,NA,NA,NA,2.6,4,NA,NA,NA,NA
1637,2,79,74,53,37,36,47,3.6,3.4,2.4,1.6,2,2.4
1638,1,37.89473684,65,60,NA,69,61,3,2.6,2.6,2.2,3.8,3
1639,1,79,74.73684211,NA,NA,NA,NA,4,3.8,NA,NA,NA,NA
1640,1,78,78,NA,NA,NA,NA,3.2,3.6,NA,NA,NA,NA
1641,1,79,74.73684211,NA,NA,NA,NA,3.8,4,NA,NA,NA,NA
1642,1,72,58,NA,NA,NA,NA,3,3.2,NA,NA,NA,3.2
1643,1,53,53,NA,NA,58,NA,2.8,3,NA,NA,2.4,NA
1644,2,42,51,NA,NA,51,NA,3.4,3.8,NA,NA,3.2,NA
1645,2,80,75,72,NA,79,77,2.8,2.8,3,NA,2.6,3.2
1646,1,75,65,NA,NA,NA,NA,3.8,3.2,NA,NA,NA,NA
1647,1,68,58,61,NA,60,NA,3,1.4,2.4,NA,3,NA
1648,2,70.66666667,72.94117647,NA,NA,NA,54.11764706,2.4,3.8,NA,NA,NA,NA
1649,2,69,63,NA,NA,NA,NA,3,3,NA,NA,NA,NA
1650,1,58,41,NA,NA,NA,NA,3,4,NA,NA,NA,NA
1651,4,88,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
1652,2,61.05263158,69,NA,NA,72,NA,3,3.4,NA,NA,2.2,NA
1653,1,77,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
1654,2,91.57894737,94,NA,78,78,78,4,3.8,NA,3,3,3
1655,1,59,62,NA,NA,NA,NA,3,3,NA,NA,NA,NA
1656,1,77,72,NA,NA,NA,NA,3.2,3.2,NA,NA,NA,NA
1657,1,62,60,NA,NA,NA,NA,3.4,3.6,NA,NA,NA,NA
1658,1,68,65,NA,NA,NA,NA,2.4,2.8,NA,NA,NA,NA
1659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1660,2,NA,72.5,77,76,78,84,NA,3.6,2.8,2.2,3,2.8
1661,1,63.33333333,58,NA,NA,NA,NA,3.2,3.6,NA,NA,NA,NA
1662,2,54,52,NA,NA,NA,NA,3,3,NA,NA,NA,NA
1663,2,37,43.15789474,47,NA,NA,NA,2.8,2.4,2.6,NA,NA,NA
1664,2,56.66666667,NA,55,56,NA,59,3,NA,2.6,3.4,NA,3.2
1665,2,64.44444444,73,59,49,57,58,3.8,3.2,3,2.4,2.2,1.8
1666,1,60,55,64.21052632,NA,60,NA,3.4,2.6,3,NA,2.2,NA
1667,1,84,84,NA,NA,79,NA,4,4,4,NA,4,NA
1668,2,42,NA,NA,NA,NA,NA,3.2,2.6,NA,NA,NA,NA
1669,2,58.88888889,66,NA,NA,62,50,3,3.4,NA,NA,2.6,2.4
1670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1671,2,74,67,NA,NA,NA,NA,2.8,3.2,NA,NA,NA,NA
1672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1673,1,68,64,NA,NA,51,NA,3.2,3,NA,NA,3,NA
