ID,GENDER_ACROSSTIME_T1T2T3T4,MPACS_TOTAL_IMP_T1,MPACS_TOTAL_IMP_T2,MPACS_TOTAL_IMP_T3,MPACS_TOTAL_IMP_T4,MPACS_TOTAL_IMP_T5,MPACS_TOTAL_IMP_T6,SPPA_SWORTH_IMP_T1,SPPA_SWORTH_IMP_T2,SPPA_SWORTH_IMP_T3,SPPA_SWORTH_IMP_T4,SPPA_SWORTH_IMP_T5,SPPA_SWORTH_IMP_T6
1100,1,74.44444444,71.57894737,NA,NA,NA,NA,2.8,3,NA,NA,NA,NA
1101,2,67.77777778,83,NA,NA,NA,75,3.4,NA,NA,NA,NA,3.4
1102,2,71.57894737,66,74,NA,59,60,3.75,2.75,2.4,NA,3,2.6
1103,2,75,81,NA,NA,NA,NA,2.6,2.6,NA,NA,NA,NA
1104,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
1105,1,58.82352941,52,NA,NA,NA,NA,2.6,3.2,NA,NA,NA,NA
1106,6,80,79,60,NA,68,NA,2,2.8,1.2,NA,1.6,NA
1107,1,58,52,NA,NA,NA,NA,2.4,2.5,NA,NA,NA,NA
1108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1109,1,NA,82,74,NA,NA,60,NA,3.2,3.4,NA,NA,2.8
1110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1111,2,57.77777778,52,NA,NA,52,55,1.6,1.8,NA,NA,2.2,2
1112,2,62,53,NA,NA,59,53,3.2,1.8,NA,NA,1,2
1113,2,30,NA,NA,NA,NA,24,1.2,1.2,NA,NA,NA,1.8
1114,1,70.58823529,72,NA,NA,NA,72,4,4,NA,NA,NA,3.6
1115,2,52,63,NA,NA,NA,64,1,2,NA,NA,NA,2.6
1116,1,NA,46,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA
1117,2,NA,61,NA,NA,NA,67,NA,3.2,NA,NA,NA,3.4
1118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1119,1,90,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
1120,2,NA,60,NA,NA,NA,NA,2.8,2.8,NA,NA,NA,NA
1121,1,70.52631579,72,NA,60,60,60,3,3.6,3.6,2.8,2.6,2.4
1122,2,83.15789474,58,NA,NA,NA,NA,3.6,3.2,NA,NA,NA,NA
1123,1,58,62,73,72,NA,NA,3.2,3.4,3.8,4,NA,NA
1124,2,67,51.57894737,NA,NA,NA,NA,3.2,2.4,NA,NA,NA,NA
1125,1,57,60,NA,NA,NA,NA,3.6,3.6,NA,NA,NA,NA
1126,2,81,63.15789474,78,90,87,89.47368421,3.8,3,3.4,4,4,3.6
1127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1128,NA,57.64705882,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA
1129,1,81,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
1130,1,57.14285714,53,NA,NA,NA,NA,3.6,2.8,NA,NA,NA,NA
1131,2,67,81,NA,73,54,66,4,4,NA,3,2,3
1132,2,93,92,95,NA,93,97,3.6,3.2,3.4,NA,3.6,3.2
1133,2,59,61.05263158,NA,NA,NA,NA,3.4,3,NA,NA,NA,NA
1134,2,60,48,NA,NA,NA,NA,3.6,3.2,NA,NA,NA,NA
1135,1,67.14285714,NA,81,NA,NA,NA,3.6,NA,3.6,NA,NA,NA
1136,1,66.25,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
1137,1,78,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA
1138,2,38,56,NA,NA,NA,NA,1.6,1.8,NA,NA,NA,NA
1139,1,77.89473684,84,79,90,80,61,3.2,3.6,3.2,3.2,2.8,2.6
1140,1,66,55,NA,NA,49,NA,3.6,3.8,NA,NA,3.8,NA
1141,1,72,80,NA,NA,NA,NA,3.4,4,NA,NA,NA,NA
1142,2,73,80,NA,NA,NA,NA,4,4,NA,NA,NA,NA
1143,2,95,97,96,NA,86,90,3.8,4,4,NA,3.8,4
1144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1146,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,2.4
1147,2,NA,58.57142857,NA,NA,NA,88,NA,3.4,NA,NA,NA,1.6
1148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1149,2,28,36.84210526,NA,NA,NA,NA,2.2,2,NA,NA,NA,NA
1150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1152,1,57,68,NA,NA,NA,NA,2.6,3.8,NA,NA,NA,NA
1153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1154,4,87,NA,95,NA,NA,NA,4,NA,4,NA,NA,NA
1155,1,68,NA,NA,NA,NA,NA,3.6,NA,NA,NA,3.6,2.8
1156,1,86,NA,NA,NA,NA,81,3.6,NA,NA,NA,NA,3.8
1157,1,52.85714286,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA
1158,1,62,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
1159,2,78,87,NA,NA,NA,NA,4,3.2,NA,NA,NA,NA
1160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1161,1,48,60,73,NA,28,79,2.4,3.6,1,NA,1.2,1.6
1162,2,58,55,NA,NA,NA,NA,4,3.4,NA,NA,NA,NA
1163,2,59,54,NA,NA,NA,NA,3,1.4,NA,NA,NA,NA
1164,2,61,62.35294118,NA,NA,NA,NA,3.8,3.2,NA,NA,NA,NA
1165,1,85,89.47368421,NA,NA,62,NA,3.6,2.8,NA,NA,2.6,NA
1166,1,78,75,NA,NA,73,82,3.6,3,NA,NA,4,4
1167,2,60,55,NA,NA,NA,NA,3.6,3.6,NA,NA,NA,NA
1168,5,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,2.4,NA
1169,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,3.6
1170,1,94,70,NA,NA,76,75,4,3.8,NA,NA,3.2,2.8
1171,1,62,65,61,NA,63,NA,3.4,3.2,3.4,NA,3,NA
1172,1,63,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
1173,1,65.26315789,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
1174,1,80,86,NA,NA,NA,NA,3.6,3.8,NA,NA,NA,NA
1175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1176,1,54,51,NA,NA,NA,NA,3.8,4,NA,NA,NA,NA
1177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1178,2,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1179,1,81,74,70,69,66,72,3.6,4,3.8,3.6,4,3.8
1180,1,NA,67,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA
1181,1,NA,62,NA,NA,NA,NA,2.666666667,3.4,NA,NA,NA,NA
1182,2,37.5,80,NA,NA,NA,NA,3.6,3.8,NA,NA,NA,NA
1183,2,86,66,70,64,56,60,3.8,3.2,3.2,3.2,3.4,3.2
1184,2,67,65,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA
1185,2,94,95,NA,NA,NA,NA,4,4,NA,NA,NA,NA
1186,2,71,83,78,89,94,91,3.6,3.2,3.4,3.8,3.4,3.6
1187,2,90,94,NA,NA,NA,NA,3.4,3,NA,NA,NA,NA
1188,2,68,57,NA,NA,NA,NA,2.8,2,NA,NA,NA,NA
1189,2,35,43,NA,NA,NA,NA,3.4,3.4,NA,NA,NA,NA
1190,2,NA,91,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA
1191,1,NA,74,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
1192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1193,1,NA,55.55555556,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA
1194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1195,1,57.77777778,47,NA,40,61,39,3,2.8,NA,3,3,3.2
1196,1,76,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA
1197,1,57,50,NA,NA,NA,NA,3.8,3.4,NA,NA,NA,NA
1198,2,94,77,NA,NA,NA,NA,3.8,3.6,NA,NA,NA,NA
1199,1,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA
1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1201,1,48.88888889,58.94736842,NA,NA,NA,NA,3.2,4,NA,NA,NA,NA
1202,2,72,80,NA,NA,NA,72,3.4,3,NA,NA,NA,3.2
1203,2,59,48,NA,NA,NA,NA,3.2,3,NA,NA,NA,NA
1204,2,57,NA,64,74,81,77,1.4,NA,1.4,2.6,1.8,2
1205,2,88,87,93,92,96,60,4,3.8,2.8,4,3,2.4
1206,4,89,90,92,NA,85,95,3.8,4,4,NA,4,3.8
1207,1,77.89473684,45.45454545,NA,NA,NA,NA,3.5,4,NA,NA,NA,NA
1208,2,89,88,NA,NA,NA,NA,4,3.6,NA,NA,NA,NA
1209,1,66,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
1210,1,66,NA,NA,NA,59,NA,1,NA,NA,NA,2.6,NA
1211,2,91,83,NA,55,55,76,4,3.6,NA,3.6,1.6,2.8
1212,2,27,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA
1213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1214,2,79,85,NA,NA,NA,NA,3.6,3.8,NA,NA,NA,NA
1215,1,67,NA,NA,NA,42,45,3.4,NA,NA,NA,1.4,2
1216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1217,2,82,94,NA,NA,NA,NA,3.2,4,NA,NA,NA,NA
1218,1,80,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
1219,1,63,NA,91,92,60,NA,2.6,NA,4,4,2.2,NA
1220,2,83,83,NA,NA,NA,NA,3.6,3.8,NA,NA,NA,NA
1221,1,81.17647059,81,NA,NA,NA,NA,4,4,NA,NA,NA,NA
1222,1,NA,71,NA,NA,60,60,NA,3.3,NA,NA,2.4,2.6
1223,1,54.44444444,52.5,NA,NA,NA,NA,2.6,3,NA,NA,NA,NA
1224,1,55.78947368,52,61,67,64,NA,2.8,2.4,1.4,2,2,NA
1225,1,87,78.94736842,NA,NA,NA,NA,3.2,3.4,NA,NA,NA,NA
1226,2,NA,62,NA,NA,NA,NA,NA,3.2,3,NA,NA,NA
1227,1,68,70,NA,NA,NA,NA,3.8,3.6,NA,NA,NA,NA
1228,1,56.84210526,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA
1229,2,61,64.21052632,NA,NA,NA,NA,4,3.2,NA,NA,NA,NA
1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1231,4,84.21052632,96,NA,NA,NA,NA,4,4,NA,NA,NA,NA
1232,2,75,73,51,56,65,NA,3,3,2.2,2.2,2,NA
1233,2,91,74,87,75,87,79,2.8,2.8,2.8,2.6,2.2,2.4
1234,2,67.36842105,60,NA,NA,NA,NA,2.8,2.2,NA,NA,NA,NA
1235,1,53,59,NA,NA,NA,NA,3.8,3.8,NA,NA,NA,NA
1236,2,58,63,74,NA,NA,NA,4,3.6,3,NA,NA,NA
1237,2,55.78947368,53,62,NA,33,NA,3,3.2,3,NA,2.2,NA
1238,2,61,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
1239,2,NA,NA,56,42,47,34,3,NA,2.8,1.8,2.8,3
1240,1,50,64.28571429,NA,NA,NA,NA,2.4,4,NA,NA,NA,NA
1241,2,NA,64,NA,NA,NA,NA,2.9,3.6,NA,NA,NA,NA
1242,2,82,80,NA,NA,NA,NA,2.8,3.25,NA,NA,NA,NA
1243,1,68,77,NA,NA,NA,NA,3,3.2,NA,NA,NA,NA
1244,1,71,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA
1245,2,NA,64,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA
